,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0,FAM-HEX
234,JG074D,118,FAM,#NAME?,FALSE,E22,0,FAM,JG074D.118,UNKNOWN,,7.591486,234,50,0.4961063896030412,1.258263349533081,1000000,100000000,10000,6,8,4,-0.06096637
236,JG074D,119,FAM,#NAME?,FALSE,E23,0,FAM,JG074D.119,UNKNOWN,,7.668333,236,50,0.5328100360018988,1.3471932411193848,1000000,100000000,100000,6,8,5,-0.052779577
238,JG074D,120,FAM,#NAME?,FALSE,E24,0,FAM,JG074D.120,UNKNOWN,,7.5995836,238,50,0.7788678736344407,1.9532966613769531,1000000,100000000,1000000,6,8,6,0.2202938985204861
240,JG074D,121,FAM,#NAME?,FALSE,F1,0,FAM,JG074D.121,UNKNOWN,,18.01646,240,50,0.29056846533973707,0.637030303,316227,100,100,5.499998947982042,2,2,-0.345405419
242,JG074D,122,FAM,#NAME?,FALSE,F2,0,FAM,JG074D.122,UNKNOWN,,16.24766,242,50,0.37387129165769034,0.8335028886795044,316227,100,10000,5.499998947982042,2,4,-0.270400184
244,JG074D,123,FAM,#NAME?,FALSE,F3,0,FAM,JG074D.123,UNKNOWN,,16.50607,244,50,0.491313682,1.1287468671798706,316227,100,100000,5.499998947982042,2,5,-0.164484673
246,JG074D,124,FAM,#NAME?,FALSE,F4,0,FAM,JG074D.124,UNKNOWN,,16.01628,246,50,0.6886471072420733,1.6079014539718628,316227,100,1000000,5.499998947982042,2,6,0.10079086427290529
248,JG074D,125,FAM,#NAME?,FALSE,F5,0,FAM,JG074D.125,UNKNOWN,,12.210144,248,50,0.6366546682167258,1.4536703824996948,316227,100,100000000,5.499998947982042,2,8,0.319082401
250,JG074D,126,FAM,#NAME?,FALSE,F6,0,FAM,JG074D.126,UNKNOWN,,18.024858,250,50,0.29883246861387924,0.6476067900657654,316227,10000,100,5.499998947982042,4,2,-0.33601994
252,JG074D,127,FAM,#NAME?,FALSE,F7,0,FAM,JG074D.127,UNKNOWN,,16.047264,252,50,0.3989122339351903,0.8884688019752502,316227,10000,10000,5.499998947982042,4,4,-0.217899483
